ID,Start time,Completion time,Email,Name,Last modified time,Select  faculty,Which year did you register:,How were your studies funded?,"If you selected Nsfas, how was the application process?",What can be improved to make the NSFAS application process easier:,Kindly rate the Nsfas application process:,Where were you staying during the period of your studies?,"If you were staying off campus, what was the reason?",Did you complete your qualification?,Did you complete your qualification in record time?,"If you selected No, what was the reason you could not complete?",What were your major challenges during the duration of your studies?,Was there any support outside of lectures?,What was the biggest challenge you encountered with the lecturers?,Kindly rate the lectures at your faculty:,Provide a reason for your rating:,Are you currently employed?,"If yes, is it on the field you studied for?",How long did it it take for you to find employment?,Was it easy applying what you were taught during the duration of your studies at the work place?,What were your career aspirations?,How can you rate TUT overall as an Institution:,What can TUT do to improve:
31,9/23/24 21:23:56,9/23/24 21:28:36,anonymous,,,Economics and finance,1997,Nsfas,Somewhat difficult,Introduce virtual assistance,3,Off campus - rentals,Students residents were expensive,Yes,Yes,,Adapting to the new environment,No,Other,4,They were excellent,Yes,No,Less than 2 years,Yes,Entrepreneurship,2,Improve quality of education
32,9/23/24 21:28:40,9/23/24 21:34:37,anonymous,,,Humanities,2023,Self funded,,,,Home,Personal preference,No,No,,Adapting to the new environment,Yes,Not available for consultations,5,Lesson delivery,No,,Other,Not working in the field,Employment in the field of study,5,More assistance with funding
33,9/23/24 21:34:54,9/23/24 21:39:44,anonymous,,,Information and Communication Technology,2010,Self funded,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not available for consultations,3,Feedback,Yes,No,Less than 1 year,Yes,Innovation,3,Improve residence availability
34,9/23/24 21:42:49,9/23/24 21:47:26,anonymous,,,Engineering and the Built Environment,2023,Self funded,,,,Tut residents,,No,No,Finances,Finances,Yes,Not available for consultations,3,Testing,No,,Other,Not working in the field,Other,3,Improve quality of education
35,9/23/24 21:48:29,9/23/24 21:58:49,anonymous,,,Engineering and the Built Environment,2018,Nsfas,Somewhat difficult,Simplify the application process,4,Off campus - rentals,Student residents were full,Yes,Yes,,New age technology,No,All of the above,4,Giving relevant exercises,No,,Other,Not working in the field,Employment in the field of study,4,Improve quality of education
36,9/23/24 21:59:08,9/23/24 22:03:37,anonymous,,,Engineering and the Built Environment,2017,Self funded,,,,Off campus - rentals,Personal preference,Yes,No,Academic Exclusion,Finances,No,Other,4,Lesson delivery,Yes,Yes,Other,Yes,Employment in the field of study,4,More assistance with funding
37,9/23/24 22:04:00,9/23/24 22:08:56,anonymous,,,Science,2016,Bursary,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not providing feedback after assements,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,4,Improve quality of education
38,9/23/24 22:08:59,9/23/24 22:13:28,anonymous,,,The arts,2018,Nsfas,Somewhat difficult,Timeous feedback,3,Tut residents,,Yes,Yes,,Academic support,No,Canceling class,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,4,Improve quality of education
39,9/29/24 13:39:39,9/29/24 13:42:31,anonymous,,,Management Sciences,1999,Nsfas,Easy,Simplify the application process,5,Home,Personal preference,Yes,Yes,,Doubting course choice,Yes,All of the above,2,Feedback,Yes,No,Less than 1 year,Yes,Entrepreneurship,3,Improve residence availability
40,9/23/24 21:07:20,9/23/24 21:11:14,anonymous,,,Science,2010,Self funded,,,,Tut residents,,No,No,Academic Exclusion,Adapting to the new environment,No,Not providing feedback after assements,5,Giving relevant exercises,Yes,No,Less than 1 year,Not working in the field,Employment in the field of study,4,More assistance with funding
41,9/23/24 21:11:19,9/23/24 21:15:04,anonymous,,,The arts,2020,Bursary,,,,Off campus - rentals,Student residents were full,No,No,,Academic support,No,Not available for consultations,3,Feedback,Yes,No,Less than 2 years,No,Academia,3,Improve residence availability
42,9/23/24 21:15:30,9/23/24 21:19:52,anonymous,,,Management Sciences,2015,Bursary,,,,Tut residents,,Yes,No,Mental health,Adapting to the new environment,Yes,Other,4,Lesson delivery,Yes,Yes,Less than 1 year,No,Innovation,3,Improve quality of education
43,9/23/24 21:23:56,9/23/24 21:28:36,anonymous,,,Science,1997,Nsfas,Somewhat difficult,Introduce virtual assistance,3,Off campus - rentals,Students residents were expensive,Yes,Yes,,Adapting to the new environment,No,Other,4,They were excellent,Yes,No,Less than 2 years,Yes,Entrepreneurship,2,Improve quality of education
44,9/23/24 21:28:40,9/23/24 21:34:37,anonymous,,,The arts,2023,Self funded,,,,Home,Personal preference,No,No,,Adapting to the new environment,Yes,Not available for consultations,5,Lesson delivery,No,,Other,Not working in the field,Employment in the field of study,5,More assistance with funding
45,9/23/24 21:34:54,9/23/24 21:39:44,anonymous,,,Management Sciences,2010,Self funded,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not available for consultations,3,Feedback,Yes,No,Less than 1 year,Yes,Innovation,3,Improve residence availability
46,9/23/24 21:42:49,9/23/24 21:47:26,anonymous,,,Science,2023,Self funded,,,,Tut residents,,No,No,Finances,Finances,Yes,Not available for consultations,3,Testing,No,,Other,Not working in the field,Other,3,Improve quality of education
47,9/23/24 21:48:29,9/23/24 21:58:49,anonymous,,,The arts,2018,Nsfas,Somewhat difficult,Simplify the application process,4,Off campus - rentals,Student residents were full,Yes,Yes,,New age technology,No,All of the above,4,Giving relevant exercises,No,,Other,Not working in the field,Employment in the field of study,4,Improve quality of education
48,9/23/24 21:59:08,9/23/24 22:03:37,anonymous,,,Management Sciences,2017,Self funded,,,,Off campus - rentals,Personal preference,Yes,No,Academic Exclusion,Finances,No,Other,4,Lesson delivery,Yes,Yes,Other,Yes,Employment in the field of study,4,More assistance with funding
49,9/23/24 22:04:00,9/23/24 22:08:56,anonymous,,,The arts,2016,Bursary,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not providing feedback after assements,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,4,Improve quality of education
50,9/23/24 22:08:59,9/23/24 22:13:28,anonymous,,,Management Sciences,2018,Nsfas,Somewhat difficult,Timeous feedback,3,Tut residents,,Yes,Yes,,Academic support,No,Canceling class,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,4,Improve quality of education
51,9/23/24 21:34:54,9/23/24 21:39:44,anonymous,,,Information and Communication Technology,2010,Self funded,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not available for consultations,3,Feedback,Yes,No,Less than 1 year,Yes,Innovation,,
52,9/23/24 21:42:49,9/23/24 21:47:26,anonymous,,,Information and Communication Technology,2023,Self funded,,,,Tut residents,,No,No,Finances,Finances,Yes,Not available for consultations,3,Testing,No,,Other,Not working in the field,Other,,
53,9/23/24 21:48:29,9/23/24 21:58:49,anonymous,,,Information and Communication Technology,2018,Nsfas,Somewhat difficult,Simplify the application process,4,Off campus - rentals,Student residents were full,Yes,Yes,,New age technology,No,All of the above,4,Giving relevant exercises,No,,Other,Not working in the field,Employment in the field of study,,
54,9/23/24 21:59:08,9/23/24 22:03:37,anonymous,,,Information and Communication Technology,2017,Self funded,,,,Off campus - rentals,Personal preference,Yes,No,Academic Exclusion,Finances,No,Other,4,Lesson delivery,Yes,Yes,Other,Yes,Employment in the field of study,,
55,9/23/24 22:04:00,9/23/24 22:08:56,anonymous,,,Information and Communication Technology,2016,Bursary,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not providing feedback after assements,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,,
56,9/23/24 22:08:59,9/23/24 22:13:28,anonymous,,,Information and Communication Technology,2018,Nsfas,Somewhat difficult,Timeous feedback,3,Tut residents,,Yes,Yes,,Academic support,No,Canceling class,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,,
57,9/29/24 13:39:39,9/29/24 13:42:31,anonymous,,,Information and Communication Technology,1999,Nsfas,Easy,Simplify the application process,5,Home,Personal preference,Yes,Yes,,Doubting course choice,Yes,All of the above,2,Feedback,Yes,No,Less than 1 year,Yes,Entrepreneurship,,
58,9/23/24 21:07:20,9/23/24 21:11:14,anonymous,,,Information and Communication Technology,2010,Self funded,,,,Tut residents,,No,No,Academic Exclusion,Adapting to the new environment,No,Not providing feedback after assements,5,Giving relevant exercises,Yes,No,Less than 1 year,Not working in the field,Employment in the field of study,,
59,9/23/24 21:11:19,9/23/24 21:15:04,anonymous,,,Information and Communication Technology,2020,Bursary,,,,Off campus - rentals,Student residents were full,No,No,,Academic support,No,Not available for consultations,3,Feedback,Yes,No,Less than 2 years,No,Academia,,
60,9/23/24 21:15:30,9/23/24 21:19:52,anonymous,,,Information and Communication Technology,2015,Bursary,,,,Tut residents,,Yes,No,Mental health,Adapting to the new environment,Yes,Other,4,Lesson delivery,Yes,Yes,Less than 1 year,No,Innovation,,
61,9/23/24 21:23:56,9/23/24 21:28:36,anonymous,,,Information and Communication Technology,1997,Nsfas,Somewhat difficult,Introduce virtual assistance,3,Off campus - rentals,Students residents were expensive,Yes,Yes,,Adapting to the new environment,No,Other,4,They were excellent,Yes,No,Less than 2 years,Yes,Entrepreneurship,,
62,9/23/24 21:28:40,9/23/24 21:34:37,anonymous,,,Information and Communication Technology,2023,Self funded,,,,Home,Personal preference,No,No,,Adapting to the new environment,Yes,Not available for consultations,5,Lesson delivery,No,,Other,Not working in the field,Employment in the field of study,,
63,9/23/24 21:34:54,9/23/24 21:39:44,anonymous,,,Information and Communication Technology,2010,Self funded,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not available for consultations,3,Feedback,Yes,No,Less than 1 year,Yes,Innovation,,
64,9/23/24 20:59:05,9/23/24 21:04:53,anonymous,,,Humanities,2019,All of the above,Somewhat difficult,Response time,3,Off campus - rentals,Student residents were full,Yes,Yes,,Academic support,Yes,Other,4,They were excellent,Yes,No,Less than 3 years,Not working in the field,Entrepreneurship,,
65,9/23/24 21:03:13,9/23/24 21:07:03,anonymous,,,Humanities,2017,Nsfas,Challenging,Simplify the application process,2,Tut residents,,Yes,No,Loss of interest,Doubting course choice,Yes,All of the above,2,Lesson delivery,No,,Other,Not working in the field,Innovation,,
66,9/23/24 21:04:57,9/23/24 21:07:57,anonymous,,,Humanities,2015,All of the above,Challenging,Simplify the application process,3,Home,Personal preference,Yes,No,Mental health,Adapting to the new environment,Yes,Not available for consultations,3,Lesson delivery,Yes,Yes,Less than 2 years,Yes,Academia,,
67,9/23/24 21:07:20,9/23/24 21:11:14,anonymous,,,Humanities,2010,Self funded,,,,Tut residents,,No,No,Academic Exclusion,Adapting to the new environment,No,Not providing feedback after assements,5,Giving relevant exercises,Yes,No,Less than 1 year,Not working in the field,Employment in the field of study,,
68,9/23/24 21:11:19,9/23/24 21:15:04,anonymous,,,Humanities,2020,Bursary,,,,Off campus - rentals,Student residents were full,No,No,,Academic support,No,Not available for consultations,3,Feedback,Yes,No,Less than 2 years,No,Academia,,
69,9/23/24 21:15:30,9/23/24 21:19:52,anonymous,,,Humanities,2015,Bursary,,,,Tut residents,,Yes,No,Mental health,Adapting to the new environment,Yes,Other,4,Lesson delivery,Yes,Yes,Less than 1 year,No,Innovation,,
70,9/23/24 21:23:56,9/23/24 21:28:36,anonymous,,,Humanities,1997,Nsfas,Somewhat difficult,Introduce virtual assistance,3,Off campus - rentals,Students residents were expensive,Yes,Yes,,Adapting to the new environment,No,Other,4,They were excellent,Yes,No,Less than 2 years,Yes,Entrepreneurship,,
71,9/23/24 21:28:40,9/23/24 21:34:37,anonymous,,,Humanities,2023,Self funded,,,,Home,Personal preference,No,No,,Adapting to the new environment,Yes,Not available for consultations,5,Lesson delivery,No,,Other,Not working in the field,Employment in the field of study,,
72,9/23/24 21:34:54,9/23/24 21:39:44,anonymous,,,Humanities,2010,Self funded,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not available for consultations,3,Feedback,Yes,No,Less than 1 year,Yes,Innovation,,
73,9/23/24 21:42:49,9/23/24 21:47:26,anonymous,,,Humanities,2023,Self funded,,,,Tut residents,,No,No,Finances,Finances,Yes,Not available for consultations,3,Testing,No,,Other,Not working in the field,Other,,
74,9/23/24 21:48:29,9/23/24 21:58:49,anonymous,,,Humanities,2018,Nsfas,Somewhat difficult,Simplify the application process,4,Off campus - rentals,Student residents were full,Yes,Yes,,New age technology,No,All of the above,4,Giving relevant exercises,No,,Other,Not working in the field,Employment in the field of study,,
75,9/23/24 21:59:08,9/23/24 22:03:37,anonymous,,,Humanities,2017,Self funded,,,,Off campus - rentals,Personal preference,Yes,No,Academic Exclusion,Finances,No,Other,4,Lesson delivery,Yes,Yes,Other,Yes,Employment in the field of study,,
76,9/23/24 22:04:00,9/23/24 22:08:56,anonymous,,,Humanities,2016,Bursary,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not providing feedback after assements,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,,
77,9/23/24 22:08:59,9/23/24 22:13:28,anonymous,,,Humanities,2018,Nsfas,Somewhat difficult,Timeous feedback,3,Tut residents,,Yes,Yes,,Academic support,No,Canceling class,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,,
78,9/29/24 13:39:39,9/29/24 13:42:31,anonymous,,,Humanities,1999,Nsfas,Easy,Simplify the application process,5,Home,Personal preference,Yes,Yes,,Doubting course choice,Yes,All of the above,2,Feedback,Yes,No,Less than 1 year,Yes,Entrepreneurship,,
79,9/29/24 13:42:44,9/29/24 13:45:22,anonymous,,,Humanities,2004,Self funded,,,,Tut residents,,Yes,No,,Academic support,No,Not providing feedback after assements,2,Giving relevant exercises,Yes,No,Other,Not working in the field,Innovation,,
80,9/29/24 13:45:27,9/29/24 13:49:28,anonymous,,,Humanities,2001,Self funded,,,,Off campus - rentals,Students residents were expensive,No,No,Academic Exclusion,Adapting to the new environment,Yes,Other,4,They were excellent,Yes,Yes,Less than 3 years,Yes,Other,,
81,9/29/24 14:06:46,9/29/24 14:10:32,anonymous,,,Economics and finance,2012,All of the above,Somewhat difficult,Introduce virtual assistance,4,Home,Personal preference,Yes,No,Mental health,Adapting to the new environment,No,Other,5,They were excellent,Yes,Yes,Less than 2 years,No,Innovation,,
82,9/23/24 14:23:53,9/23/24 14:34:54,anonymous,,,Economics and finance,2010,Self funded,Challenging,Simplify the application process,1,Tut residents,,No,No,Finances,Adapting to the new environment,Yes,Canceling class,5,Lesson delivery,Yes,No,Less than 1 year,Not working in the field,Employment in the field of study,,
83,9/23/24 20:54:23,9/23/24 20:58:48,anonymous,,,Economics and finance,2010,Self funded,,,,Tut residents,,Yes,No,Loss of interest,Doubting course choice,Yes,All of the above,2,Feedback,No,,Other,Not working in the field,Employment in the field of study,,
84,9/23/24 20:59:55,9/23/24 21:02:52,anonymous,,,Economics and finance,2010,Self funded,,,,Tut residents,,No,No,Mental health,New age technology,Yes,Canceling class,5,They were excellent,No,No,Less than 1 year,Not working in the field,Innovation,,
85,9/23/24 20:59:05,9/23/24 21:04:53,anonymous,,,Economics and finance,2019,All of the above,Somewhat difficult,Response time,3,Off campus - rentals,Student residents were full,Yes,Yes,,Academic support,Yes,Other,4,They were excellent,Yes,No,Less than 3 years,Not working in the field,Entrepreneurship,,
86,9/23/24 21:03:13,9/23/24 21:07:03,anonymous,,,Economics and finance,2017,Nsfas,Challenging,Simplify the application process,2,Tut residents,,Yes,No,Loss of interest,Doubting course choice,Yes,All of the above,2,Lesson delivery,No,,Other,Not working in the field,Innovation,,
87,9/23/24 21:04:57,9/23/24 21:07:57,anonymous,,,Economics and finance,2015,All of the above,Challenging,Simplify the application process,3,Home,Personal preference,Yes,No,Mental health,Adapting to the new environment,Yes,Not available for consultations,3,Lesson delivery,Yes,Yes,Less than 2 years,Yes,Academia,,
88,9/23/24 21:15:30,9/23/24 21:19:52,anonymous,,,Economics and finance,2015,Bursary,,,,Tut residents,,Yes,No,Mental health,Adapting to the new environment,Yes,Other,4,Lesson delivery,Yes,Yes,Less than 1 year,No,Innovation,3,Improve quality of education
89,9/23/24 21:23:56,9/23/24 21:28:36,anonymous,,,Economics and finance,1997,Nsfas,Somewhat difficult,Introduce virtual assistance,3,Off campus - rentals,Students residents were expensive,Yes,Yes,,Adapting to the new environment,No,Other,4,They were excellent,Yes,No,Less than 2 years,Yes,Entrepreneurship,2,Improve quality of education
90,9/23/24 21:28:40,9/23/24 21:34:37,anonymous,,,Economics and finance,2023,Self funded,,,,Home,Personal preference,No,No,,Adapting to the new environment,Yes,Not available for consultations,5,Lesson delivery,No,,Other,Not working in the field,Employment in the field of study,5,More assistance with funding
91,9/23/24 21:34:54,9/23/24 21:39:44,anonymous,,,Economics and finance,2010,Self funded,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not available for consultations,3,Feedback,Yes,No,Less than 1 year,Yes,Innovation,3,Improve residence availability
92,9/23/24 21:42:49,9/23/24 21:47:26,anonymous,,,Economics and finance,2023,Self funded,,,,Tut residents,,No,No,Finances,Finances,Yes,Not available for consultations,3,Testing,No,,Other,Not working in the field,Other,3,Improve quality of education
93,9/23/24 21:48:29,9/23/24 21:58:49,anonymous,,,Economics and finance,2018,Nsfas,Somewhat difficult,Simplify the application process,4,Off campus - rentals,Student residents were full,Yes,Yes,,New age technology,No,All of the above,4,Giving relevant exercises,No,,Other,Not working in the field,Employment in the field of study,4,Improve quality of education
94,9/23/24 21:59:08,9/23/24 22:03:37,anonymous,,,Economics and finance,2017,Self funded,,,,Off campus - rentals,Personal preference,Yes,No,Academic Exclusion,Finances,No,Other,4,Lesson delivery,Yes,Yes,Other,Yes,Employment in the field of study,4,More assistance with funding
95,9/23/24 22:04:00,9/23/24 22:08:56,anonymous,,,Economics and finance,2016,Bursary,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not providing feedback after assements,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,4,Improve quality of education
96,9/23/24 22:08:59,9/23/24 22:13:28,anonymous,,,Economics and finance,2018,Nsfas,Somewhat difficult,Timeous feedback,3,Tut residents,,Yes,Yes,,Academic support,No,Canceling class,4,Lesson delivery,Yes,Yes,Less than 1 year,Yes,Academia,4,Improve quality of education
97,9/23/24 21:34:54,9/23/24 21:39:44,anonymous,,,Economics and finance,2010,Self funded,,,,Tut residents,,Yes,No,,Doubting course choice,Yes,Not available for consultations,3,Feedback,Yes,No,Less than 1 year,Yes,Innovation,,
98,9/23/24 21:42:49,9/23/24 21:47:26,anonymous,,,Economics and finance,2023,Self funded,,,,Tut residents,,No,No,Finances,Finances,Yes,Not available for consultations,3,Testing,No,,Other,Not working in the field,Other,,
99,9/23/24 21:48:29,9/23/24 21:58:49,anonymous,,,Economics and finance,2018,Nsfas,Somewhat difficult,Simplify the application process,4,Off campus - rentals,Student residents were full,Yes,Yes,,New age technology,No,All of the above,4,Giving relevant exercises,No,,Other,Not working in the field,Employment in the field of study,,
